Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='cp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=30, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 2.3531 	 FL_acc 10.3165 	 Test images 10000
Round 002 	 FL_loss 2.4037 	 FL_acc 18.2692 	 Test images 10000
Round 003 	 FL_loss 2.1766 	 FL_acc 26.5024 	 Test images 10000
Round 004 	 FL_loss 1.9590 	 FL_acc 31.6506 	 Test images 10000
Round 005 	 FL_loss 1.6491 	 FL_acc 41.0958 	 Test images 10000
Round 006 	 FL_loss 1.5139 	 FL_acc 45.3425 	 Test images 10000
Round 007 	 FL_loss 1.4734 	 FL_acc 47.0252 	 Test images 10000
Round 008 	 FL_loss 1.4369 	 FL_acc 48.7079 	 Test images 10000
Round 009 	 FL_loss 1.4195 	 FL_acc 49.8898 	 Test images 10000
Round 010 	 FL_loss 1.4217 	 FL_acc 50.7212 	 Test images 10000
Round 011 	 FL_loss 1.4483 	 FL_acc 50.4207 	 Test images 10000
Round 012 	 FL_loss 1.4370 	 FL_acc 51.7328 	 Test images 10000
Round 013 	 FL_loss 1.4427 	 FL_acc 52.2636 	 Test images 10000
Round 014 	 FL_loss 1.4614 	 FL_acc 52.4940 	 Test images 10000
Round 015 	 FL_loss 1.4846 	 FL_acc 52.9247 	 Test images 10000
Round 016 	 FL_loss 1.4960 	 FL_acc 53.0248 	 Test images 10000
Round 017 	 FL_loss 1.5158 	 FL_acc 53.8462 	 Test images 10000
Round 018 	 FL_loss 1.5506 	 FL_acc 54.0665 	 Test images 10000
Round 019 	 FL_loss 1.5699 	 FL_acc 54.1466 	 Test images 10000
Round 020 	 FL_loss 1.6333 	 FL_acc 53.9864 	 Test images 10000
Round 021 	 FL_loss 1.6256 	 FL_acc 54.4371 	 Test images 10000
Round 022 	 FL_loss 1.6280 	 FL_acc 55.1382 	 Test images 10000
Round 023 	 FL_loss 1.6635 	 FL_acc 55.0781 	 Test images 10000
Round 024 	 FL_loss 1.7344 	 FL_acc 54.2869 	 Test images 10000
Round 025 	 FL_loss 1.7339 	 FL_acc 55.1182 	 Test images 10000
Round 026 	 FL_loss 1.7895 	 FL_acc 54.0365 	 Test images 10000
Round 027 	 FL_loss 1.7981 	 FL_acc 54.8978 	 Test images 10000
Round 028 	 FL_loss 1.8441 	 FL_acc 54.9079 	 Test images 10000
Round 029 	 FL_loss 1.8579 	 FL_acc 54.9279 	 Test images 10000
Round 030 	 FL_loss 1.8722 	 FL_acc 55.1082 	 Test images 10000
Best FL accuracy: 55.138221740722656 on round 22
Defense Method:  cp
Finished computations with time: 0:06:42.688014

Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='cp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=30, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 2.8932 	 FL_acc 12.0994 	 Test images 10000
Round 002 	 FL_loss 2.2755 	 FL_acc 13.8121 	 Test images 10000
Round 003 	 FL_loss 2.2091 	 FL_acc 16.8069 	 Test images 10000
Round 004 	 FL_loss 2.1574 	 FL_acc 19.2508 	 Test images 10000
Round 005 	 FL_loss 2.1157 	 FL_acc 20.5829 	 Test images 10000
Round 006 	 FL_loss 2.0838 	 FL_acc 21.6647 	 Test images 10000
Round 007 	 FL_loss 2.0585 	 FL_acc 22.6262 	 Test images 10000
Round 008 	 FL_loss 2.0379 	 FL_acc 23.6979 	 Test images 10000
Round 009 	 FL_loss 2.0155 	 FL_acc 25.2204 	 Test images 10000
Round 010 	 FL_loss 2.0005 	 FL_acc 25.9115 	 Test images 10000
Round 011 	 FL_loss 1.9876 	 FL_acc 26.6927 	 Test images 10000
Round 012 	 FL_loss 1.9775 	 FL_acc 27.0433 	 Test images 10000
Round 013 	 FL_loss 1.9686 	 FL_acc 27.6943 	 Test images 10000
Round 014 	 FL_loss 1.9564 	 FL_acc 28.0549 	 Test images 10000
Round 015 	 FL_loss 1.9490 	 FL_acc 29.0365 	 Test images 10000
Round 016 	 FL_loss 1.9390 	 FL_acc 29.0064 	 Test images 10000
Round 017 	 FL_loss 1.9311 	 FL_acc 30.1182 	 Test images 10000
Round 018 	 FL_loss 1.9202 	 FL_acc 30.5789 	 Test images 10000
Round 019 	 FL_loss 1.9134 	 FL_acc 30.4487 	 Test images 10000
Round 020 	 FL_loss 1.9064 	 FL_acc 31.3702 	 Test images 10000
Round 021 	 FL_loss 1.8994 	 FL_acc 31.6306 	 Test images 10000
Round 022 	 FL_loss 1.8932 	 FL_acc 31.7608 	 Test images 10000
Round 023 	 FL_loss 1.8836 	 FL_acc 32.3918 	 Test images 10000
Round 024 	 FL_loss 1.8780 	 FL_acc 32.4820 	 Test images 10000
Round 025 	 FL_loss 1.8727 	 FL_acc 32.7224 	 Test images 10000
Round 026 	 FL_loss 1.8658 	 FL_acc 32.8325 	 Test images 10000
Round 027 	 FL_loss 1.8563 	 FL_acc 33.6338 	 Test images 10000
Round 028 	 FL_loss 1.8518 	 FL_acc 33.7841 	 Test images 10000
Round 029 	 FL_loss 1.8468 	 FL_acc 34.0545 	 Test images 10000
Round 030 	 FL_loss 1.8433 	 FL_acc 34.2648 	 Test images 10000
Best FL accuracy: 34.26482391357422 on round 30
Defense Method:  cp
Finished computations with time: 0:03:55.769911

