Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='soteria', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=2, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 4.4215 	 FL_acc 9.8057 	 Test images 10000
Round 002 	 FL_loss 3.5822 	 FL_acc 10.7171 	 Test images 10000
Round 003 	 FL_loss 3.4103 	 FL_acc 10.3766 	 Test images 10000
Round 004 	 FL_loss 2.6941 	 FL_acc 17.2977 	 Test images 10000
Round 005 	 FL_loss 2.9782 	 FL_acc 23.4976 	 Test images 10000
Round 006 	 FL_loss 2.5548 	 FL_acc 32.0913 	 Test images 10000
Round 007 	 FL_loss 2.5850 	 FL_acc 34.6354 	 Test images 10000
Round 008 	 FL_loss 2.4951 	 FL_acc 37.0393 	 Test images 10000
Round 009 	 FL_loss 2.4821 	 FL_acc 40.6651 	 Test images 10000
Round 010 	 FL_loss 2.4514 	 FL_acc 42.2576 	 Test images 10000
Round 011 	 FL_loss 2.4268 	 FL_acc 43.7300 	 Test images 10000
Round 012 	 FL_loss 2.4415 	 FL_acc 44.6114 	 Test images 10000
Round 013 	 FL_loss 2.4029 	 FL_acc 47.2155 	 Test images 10000
Round 014 	 FL_loss 2.3894 	 FL_acc 48.4375 	 Test images 10000
Round 015 	 FL_loss 2.3883 	 FL_acc 49.7095 	 Test images 10000
Round 016 	 FL_loss 2.3810 	 FL_acc 50.6611 	 Test images 10000
Round 017 	 FL_loss 2.3751 	 FL_acc 51.4523 	 Test images 10000
Round 018 	 FL_loss 2.3547 	 FL_acc 53.1050 	 Test images 10000
Round 019 	 FL_loss 2.3635 	 FL_acc 53.5457 	 Test images 10000
Round 020 	 FL_loss 2.3685 	 FL_acc 54.2167 	 Test images 10000
Round 021 	 FL_loss 2.3406 	 FL_acc 55.6591 	 Test images 10000
Round 022 	 FL_loss 2.3444 	 FL_acc 56.0697 	 Test images 10000
Round 023 	 FL_loss 2.3429 	 FL_acc 56.4303 	 Test images 10000
Round 024 	 FL_loss 2.3296 	 FL_acc 57.3718 	 Test images 10000
Round 025 	 FL_loss 2.3256 	 FL_acc 58.1831 	 Test images 10000
Round 026 	 FL_loss 2.3300 	 FL_acc 58.4335 	 Test images 10000
Round 027 	 FL_loss 2.3171 	 FL_acc 59.3550 	 Test images 10000
Round 028 	 FL_loss 2.3104 	 FL_acc 59.6254 	 Test images 10000
Round 029 	 FL_loss 2.3085 	 FL_acc 60.2364 	 Test images 10000
Round 030 	 FL_loss 2.3003 	 FL_acc 60.6971 	 Test images 10000
Round 031 	 FL_loss 2.3011 	 FL_acc 61.0978 	 Test images 10000
Round 032 	 FL_loss 2.2930 	 FL_acc 62.0092 	 Test images 10000
Round 033 	 FL_loss 2.2874 	 FL_acc 62.5801 	 Test images 10000
Round 034 	 FL_loss 2.2883 	 FL_acc 62.7003 	 Test images 10000
Round 035 	 FL_loss 2.2853 	 FL_acc 63.1711 	 Test images 10000
Round 036 	 FL_loss 2.2902 	 FL_acc 63.5917 	 Test images 10000
Round 037 	 FL_loss 2.2783 	 FL_acc 64.0625 	 Test images 10000
Round 038 	 FL_loss 2.2859 	 FL_acc 64.1827 	 Test images 10000
Round 039 	 FL_loss 2.2896 	 FL_acc 64.2027 	 Test images 10000
Round 040 	 FL_loss 2.2811 	 FL_acc 64.8438 	 Test images 10000
Round 041 	 FL_loss 2.2859 	 FL_acc 64.9740 	 Test images 10000
Round 042 	 FL_loss 2.2774 	 FL_acc 65.5048 	 Test images 10000
Round 043 	 FL_loss 2.2813 	 FL_acc 65.6450 	 Test images 10000
Round 044 	 FL_loss 2.2778 	 FL_acc 65.8654 	 Test images 10000
Round 045 	 FL_loss 2.2860 	 FL_acc 65.9355 	 Test images 10000
Round 046 	 FL_loss 2.2916 	 FL_acc 65.9655 	 Test images 10000
Round 047 	 FL_loss 2.2929 	 FL_acc 66.1659 	 Test images 10000
Round 048 	 FL_loss 2.2925 	 FL_acc 66.4563 	 Test images 10000
Round 049 	 FL_loss 2.2862 	 FL_acc 66.9671 	 Test images 10000
Round 050 	 FL_loss 2.2900 	 FL_acc 66.8970 	 Test images 10000
Round 051 	 FL_loss 2.2924 	 FL_acc 67.0172 	 Test images 10000
Round 052 	 FL_loss 2.2916 	 FL_acc 67.1775 	 Test images 10000
Round 053 	 FL_loss 2.2852 	 FL_acc 67.4780 	 Test images 10000
Round 054 	 FL_loss 2.2835 	 FL_acc 67.6182 	 Test images 10000
Round 055 	 FL_loss 2.2903 	 FL_acc 67.5180 	 Test images 10000
Round 056 	 FL_loss 2.2875 	 FL_acc 67.8886 	 Test images 10000
Round 057 	 FL_loss 2.2874 	 FL_acc 68.0088 	 Test images 10000
Round 058 	 FL_loss 2.2874 	 FL_acc 68.1591 	 Test images 10000
Round 059 	 FL_loss 2.2854 	 FL_acc 68.2993 	 Test images 10000
Round 060 	 FL_loss 2.2906 	 FL_acc 68.1991 	 Test images 10000
Round 061 	 FL_loss 2.2887 	 FL_acc 68.4195 	 Test images 10000
Round 062 	 FL_loss 2.2861 	 FL_acc 68.5096 	 Test images 10000
Round 063 	 FL_loss 2.2844 	 FL_acc 68.7400 	 Test images 10000
Round 064 	 FL_loss 2.2859 	 FL_acc 68.7500 	 Test images 10000
Round 065 	 FL_loss 2.2848 	 FL_acc 68.8802 	 Test images 10000
Round 066 	 FL_loss 2.2901 	 FL_acc 68.8502 	 Test images 10000
Round 067 	 FL_loss 2.2908 	 FL_acc 69.0104 	 Test images 10000
Round 068 	 FL_loss 2.2878 	 FL_acc 69.2007 	 Test images 10000
Round 069 	 FL_loss 2.2891 	 FL_acc 69.2408 	 Test images 10000
Round 070 	 FL_loss 2.2911 	 FL_acc 69.3510 	 Test images 10000
Round 071 	 FL_loss 2.2921 	 FL_acc 69.4211 	 Test images 10000
Round 072 	 FL_loss 2.2903 	 FL_acc 69.4010 	 Test images 10000
Round 073 	 FL_loss 2.2900 	 FL_acc 69.4912 	 Test images 10000
Round 074 	 FL_loss 2.2914 	 FL_acc 69.5913 	 Test images 10000
Round 075 	 FL_loss 2.2919 	 FL_acc 69.6915 	 Test images 10000
Round 076 	 FL_loss 2.2947 	 FL_acc 69.7616 	 Test images 10000
Round 077 	 FL_loss 2.2901 	 FL_acc 69.9119 	 Test images 10000
Round 078 	 FL_loss 2.2892 	 FL_acc 69.9419 	 Test images 10000
Round 079 	 FL_loss 2.2923 	 FL_acc 70.0521 	 Test images 10000
Round 080 	 FL_loss 2.2934 	 FL_acc 70.1222 	 Test images 10000
Round 081 	 FL_loss 2.2936 	 FL_acc 70.1222 	 Test images 10000
Round 082 	 FL_loss 2.2908 	 FL_acc 70.1322 	 Test images 10000
Round 083 	 FL_loss 2.2911 	 FL_acc 70.2324 	 Test images 10000
Round 084 	 FL_loss 2.2940 	 FL_acc 70.3726 	 Test images 10000
Round 085 	 FL_loss 2.2927 	 FL_acc 70.3826 	 Test images 10000
Round 086 	 FL_loss 2.2957 	 FL_acc 70.4728 	 Test images 10000
Round 087 	 FL_loss 2.2976 	 FL_acc 70.4728 	 Test images 10000
Round 088 	 FL_loss 2.2923 	 FL_acc 70.5829 	 Test images 10000
Round 089 	 FL_loss 2.2914 	 FL_acc 70.6430 	 Test images 10000
Round 090 	 FL_loss 2.2916 	 FL_acc 70.6030 	 Test images 10000
Round 091 	 FL_loss 2.2904 	 FL_acc 70.7131 	 Test images 10000
Round 092 	 FL_loss 2.2907 	 FL_acc 70.6931 	 Test images 10000
Round 093 	 FL_loss 2.2923 	 FL_acc 70.7131 	 Test images 10000
Round 094 	 FL_loss 2.2917 	 FL_acc 70.7532 	 Test images 10000
Round 095 	 FL_loss 2.2943 	 FL_acc 70.7732 	 Test images 10000
Round 096 	 FL_loss 2.2934 	 FL_acc 70.7933 	 Test images 10000
Round 097 	 FL_loss 2.2931 	 FL_acc 70.8734 	 Test images 10000
Round 098 	 FL_loss 2.2936 	 FL_acc 70.9235 	 Test images 10000
Round 099 	 FL_loss 2.2961 	 FL_acc 70.9435 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 2.2970 	 FL_acc 71.0036 	 Test images 10000
Round 101 	 FL_loss 2.2963 	 FL_acc 71.0337 	 Test images 10000
Round 102 	 FL_loss 2.2997 	 FL_acc 70.9736 	 Test images 10000
Round 103 	 FL_loss 2.2992 	 FL_acc 71.0236 	 Test images 10000
Round 104 	 FL_loss 2.3002 	 FL_acc 71.1338 	 Test images 10000
Round 105 	 FL_loss 2.3003 	 FL_acc 71.1739 	 Test images 10000
Round 106 	 FL_loss 2.2964 	 FL_acc 71.1438 	 Test images 10000
Round 107 	 FL_loss 2.2976 	 FL_acc 71.2139 	 Test images 10000
Round 108 	 FL_loss 2.2980 	 FL_acc 71.2340 	 Test images 10000
Round 109 	 FL_loss 2.2994 	 FL_acc 71.2240 	 Test images 10000
Round 110 	 FL_loss 2.3011 	 FL_acc 71.2740 	 Test images 10000
Round 111 	 FL_loss 2.2975 	 FL_acc 71.4043 	 Test images 10000
Round 112 	 FL_loss 2.2949 	 FL_acc 71.3442 	 Test images 10000
Round 113 	 FL_loss 2.2998 	 FL_acc 71.3542 	 Test images 10000
Round 114 	 FL_loss 2.3014 	 FL_acc 71.4343 	 Test images 10000
Round 115 	 FL_loss 2.3015 	 FL_acc 71.3842 	 Test images 10000
Round 116 	 FL_loss 2.3018 	 FL_acc 71.4243 	 Test images 10000
Round 117 	 FL_loss 2.3012 	 FL_acc 71.4744 	 Test images 10000
Round 118 	 FL_loss 2.3000 	 FL_acc 71.4543 	 Test images 10000
Round 119 	 FL_loss 2.3016 	 FL_acc 71.5745 	 Test images 10000
Round 120 	 FL_loss 2.3014 	 FL_acc 71.5445 	 Test images 10000
Round 121 	 FL_loss 2.3022 	 FL_acc 71.5745 	 Test images 10000
Round 122 	 FL_loss 2.3035 	 FL_acc 71.6046 	 Test images 10000
Round 123 	 FL_loss 2.3049 	 FL_acc 71.5745 	 Test images 10000
Round 124 	 FL_loss 2.3040 	 FL_acc 71.6747 	 Test images 10000
Round 125 	 FL_loss 2.3003 	 FL_acc 71.7448 	 Test images 10000
Round 126 	 FL_loss 2.3018 	 FL_acc 71.6747 	 Test images 10000
Round 127 	 FL_loss 2.3022 	 FL_acc 71.7147 	 Test images 10000
Round 128 	 FL_loss 2.3022 	 FL_acc 71.7348 	 Test images 10000
Round 129 	 FL_loss 2.3023 	 FL_acc 71.8349 	 Test images 10000
Round 130 	 FL_loss 2.3035 	 FL_acc 71.7648 	 Test images 10000
Round 131 	 FL_loss 2.3024 	 FL_acc 71.8149 	 Test images 10000
Round 132 	 FL_loss 2.3032 	 FL_acc 71.7748 	 Test images 10000
Round 133 	 FL_loss 2.3043 	 FL_acc 71.8349 	 Test images 10000
Round 134 	 FL_loss 2.3062 	 FL_acc 71.8750 	 Test images 10000
Round 135 	 FL_loss 2.3054 	 FL_acc 71.9952 	 Test images 10000
Round 136 	 FL_loss 2.3057 	 FL_acc 71.9952 	 Test images 10000
Round 137 	 FL_loss 2.3053 	 FL_acc 72.0353 	 Test images 10000
Round 138 	 FL_loss 2.3071 	 FL_acc 71.9752 	 Test images 10000
Round 139 	 FL_loss 2.3069 	 FL_acc 72.0453 	 Test images 10000
Round 140 	 FL_loss 2.3058 	 FL_acc 72.0553 	 Test images 10000
Round 141 	 FL_loss 2.3074 	 FL_acc 72.0152 	 Test images 10000
Round 142 	 FL_loss 2.3066 	 FL_acc 72.0553 	 Test images 10000
Round 143 	 FL_loss 2.3062 	 FL_acc 72.0753 	 Test images 10000
Round 144 	 FL_loss 2.3081 	 FL_acc 72.0954 	 Test images 10000
Round 145 	 FL_loss 2.3086 	 FL_acc 72.1354 	 Test images 10000
Round 146 	 FL_loss 2.3070 	 FL_acc 72.1454 	 Test images 10000
Round 147 	 FL_loss 2.3065 	 FL_acc 72.0753 	 Test images 10000
Round 148 	 FL_loss 2.3072 	 FL_acc 72.1254 	 Test images 10000
Round 149 	 FL_loss 2.3059 	 FL_acc 72.1655 	 Test images 10000
Round 150 	 FL_loss 2.3053 	 FL_acc 72.1955 	 Test images 10000
Round 151 	 FL_loss 2.3085 	 FL_acc 72.1955 	 Test images 10000
Round 152 	 FL_loss 2.3075 	 FL_acc 72.1955 	 Test images 10000
Round 153 	 FL_loss 2.3080 	 FL_acc 72.2256 	 Test images 10000
Round 154 	 FL_loss 2.3091 	 FL_acc 72.2656 	 Test images 10000
Round 155 	 FL_loss 2.3106 	 FL_acc 72.2456 	 Test images 10000
Round 156 	 FL_loss 2.3099 	 FL_acc 72.2356 	 Test images 10000
Round 157 	 FL_loss 2.3087 	 FL_acc 72.2456 	 Test images 10000
Round 158 	 FL_loss 2.3092 	 FL_acc 72.2957 	 Test images 10000
Round 159 	 FL_loss 2.3091 	 FL_acc 72.2456 	 Test images 10000
Round 160 	 FL_loss 2.3093 	 FL_acc 72.2556 	 Test images 10000
Round 161 	 FL_loss 2.3096 	 FL_acc 72.2857 	 Test images 10000
Round 162 	 FL_loss 2.3085 	 FL_acc 72.3257 	 Test images 10000
Round 163 	 FL_loss 2.3104 	 FL_acc 72.2957 	 Test images 10000
Round 164 	 FL_loss 2.3104 	 FL_acc 72.3558 	 Test images 10000
Round 165 	 FL_loss 2.3118 	 FL_acc 72.3357 	 Test images 10000
Round 166 	 FL_loss 2.3132 	 FL_acc 72.3558 	 Test images 10000
Round 167 	 FL_loss 2.3125 	 FL_acc 72.3958 	 Test images 10000
Round 168 	 FL_loss 2.3113 	 FL_acc 72.4459 	 Test images 10000
Round 169 	 FL_loss 2.3100 	 FL_acc 72.4960 	 Test images 10000
Round 170 	 FL_loss 2.3114 	 FL_acc 72.4960 	 Test images 10000
Round 171 	 FL_loss 2.3112 	 FL_acc 72.5260 	 Test images 10000
Round 172 	 FL_loss 2.3126 	 FL_acc 72.4860 	 Test images 10000
Round 173 	 FL_loss 2.3136 	 FL_acc 72.4760 	 Test images 10000
Round 174 	 FL_loss 2.3133 	 FL_acc 72.4960 	 Test images 10000
Round 175 	 FL_loss 2.3138 	 FL_acc 72.5260 	 Test images 10000
Round 176 	 FL_loss 2.3147 	 FL_acc 72.6262 	 Test images 10000
Round 177 	 FL_loss 2.3145 	 FL_acc 72.6362 	 Test images 10000
Round 178 	 FL_loss 2.3138 	 FL_acc 72.6362 	 Test images 10000
Round 179 	 FL_loss 2.3134 	 FL_acc 72.6162 	 Test images 10000
Round 180 	 FL_loss 2.3137 	 FL_acc 72.6162 	 Test images 10000
Round 181 	 FL_loss 2.3147 	 FL_acc 72.6162 	 Test images 10000
Round 182 	 FL_loss 2.3135 	 FL_acc 72.6062 	 Test images 10000
Round 183 	 FL_loss 2.3144 	 FL_acc 72.6963 	 Test images 10000
Round 184 	 FL_loss 2.3152 	 FL_acc 72.6663 	 Test images 10000
Round 185 	 FL_loss 2.3160 	 FL_acc 72.6663 	 Test images 10000
Round 186 	 FL_loss 2.3165 	 FL_acc 72.6863 	 Test images 10000
Round 187 	 FL_loss 2.3167 	 FL_acc 72.6963 	 Test images 10000
Round 188 	 FL_loss 2.3154 	 FL_acc 72.6963 	 Test images 10000
Round 189 	 FL_loss 2.3146 	 FL_acc 72.7163 	 Test images 10000
Round 190 	 FL_loss 2.3141 	 FL_acc 72.7364 	 Test images 10000
Round 191 	 FL_loss 2.3148 	 FL_acc 72.7564 	 Test images 10000
Round 192 	 FL_loss 2.3142 	 FL_acc 72.8065 	 Test images 10000
Round 193 	 FL_loss 2.3159 	 FL_acc 72.7865 	 Test images 10000
Round 194 	 FL_loss 2.3166 	 FL_acc 72.7764 	 Test images 10000
Round 195 	 FL_loss 2.3174 	 FL_acc 72.8065 	 Test images 10000
Round 196 	 FL_loss 2.3175 	 FL_acc 72.8365 	 Test images 10000
Round 197 	 FL_loss 2.3167 	 FL_acc 72.8866 	 Test images 10000
Round 198 	 FL_loss 2.3175 	 FL_acc 72.8966 	 Test images 10000
Round 199 	 FL_loss 2.3191 	 FL_acc 72.8966 	 Test images 10000
Saving round 200 aggregated_parameters...
Round 200 	 FL_loss 2.3185 	 FL_acc 72.9067 	 Test images 10000
Best FL accuracy: 72.90665435791016 on round 200
Defense Method:  soteria
Finished computations with time: 19:48:11.533856

